0100100590,CÔNG TY CỔ PHẦN DỆT 10/10,Sản xuất dệt may,"Số 9/253 Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",1764268876041,31/12/2021,Tạm ngừng kinh doanh
0100101072,Tổng công ty Công nghiệp Hoá chất mỏ - Vinacomin,Sản xuất hóa chất mỏ / khai khoáng,"Ngõ 1 Phan Đình Giót, Quận Thanh Xuân, Hà Nội",7363570736961,31/12/2021,
0100101308,Tổng công ty May 10 – CTCP,Sản xuất hàng may mặc,"Phường Sài Đồng, Long Biên, Hà Nội",3462145069140,31/12/2021,
0100101403,Tổng công ty Đức Giang - CTCP,Sản xuất hàng may mặc,"Số 59 Phố Đức Giang, phường Đức Giang, Long Biên, Hà Nội",1916240323661,31/12/2021,
0100105503,Công ty cổ phần xây dựng và đầu tư Visicons,Xây dựng & đầu tư,"Tầng 5, phố Hoàng Đạo Thúy, phường Trung Hòa, Cầu Giấy, Hà Nội",938638903649,31/12/2021,Đang hoạt động
0100113494,Công ty TNHH Quốc tế VINATA,Thương mại quốc tế,"đường Khuất Duy Tiến, phường Trung Hòa,, Cầu Giấy, Hà Nội",1572072876382,31/12/2021,Đang hoạt động
0100373485,Công ty TNHH Kỹ thuật và Thương mại Ban Mai,Kỹ thuật & thương mại,"Số 99 phố Test Giả Lập, Phường Đồng Bộ, Quận Hoàn Kiếm, Hà Nội",495157311217,31/12/2021,Đang hoạt động
0100680623,Công ty TNHH Nhà thép tiền chế Zamil Việt Nam,Sản xuất & lắp dựng nhà thép tiền chế,"Khu công nghiệp Nội Bài, xã Quang Tiến, Huyện Sóc Sơn, Hà Nội",1198257196092,31/12/2021,Đang hoạt động
0100902202,Công ty TNHH Dynapac (Hà Nội),Sản xuất bao bì giấy & carton,"Đường công nghiệp 6, khu CN Sài Đồng B, phường Thạch Bàn, Long Biên, Hà Nội",678637161237,31/12/2021,Đang hoạt động
0101056111,Công ty cổ phần Thương mại đầu tư HB,Thương mại & đầu tư,"Số 23 K Hai Bà Trưng, Phường Tràng Tiền, Hoàn Kiếm, Hà Nội",790012673309,31/12/2021,Đang hoạt động
